OverleafName;GitUrl;LocalFolder;SubFolder
Pub_stopkm_TBA;https://git.overleaf.com/69c6435a14d7175d08fac5be;Pub_StopGeometry_TBA;Overleaf_source
Pub_PopInt_PartB;https://git.overleaf.com/6867ea318beda41226c210e8;Pub_PopInt_PartB;Overleaf_source
Pub_PMIP_AOR;https://git.overleaf.com/68f7aaac062abf2add5e0518;Pub_PMIP_AOR;Overleaf_source
Pub_AssesTiming_Raoul_TBA;https://git.overleaf.com/6984b8548a8afe73aa98d7c9;Pub_AssesTiming_Raoul_TBA;Overleaf_source
Pub_ActionSpace_TG;https://git.overleaf.com/666fedf8e0c4bda8640a4c54;Pub_ActionSpace_TG;Overleaf_source
Pub_OptimismBias_PartA;https://git.overleaf.com/68ed61f90b70d2777a592870;Pub_OptimismBias_PartA;Overleaf_source
Flow SP1 - WTP paper;https://git.overleaf.com/68c968ab6276108ab04a872b;Pub_FlowSP1_TBA;Overleaf_source
Pub_MIPEntropy_MPC;https://git.overleaf.com/68c2797a1cc77f6a385e5cb3;Pub_MIPEntropy_MPC;Overleaf_source
Pub_ActionSpace_NatComm;https://git.overleaf.com/690145ac3a2b7835ba6e9f31;Pub_ActionSpace_NatComm;Overleaf_source
Pub_NapstiGranularity_TBA;https://git.overleaf.com/68f331dff14090ff512c90d0;Pub_NapstiGranularity_TBA;Overleaf_source
WCTR - The Fragility of Synthetic Populations Over Time: An Evaluation of Forecasting Strategies for Agent-Based Models;https://git.overleaf.com/68614581fb2c077f5425d75f;;Overleaf_source
pLCA_Trucks_Paper;https://git.overleaf.com/6924a2d74caee4893811c755;Pub_pLCA_Trucks_TBA;Overleaf_source
FLOW paper SP2 TRD Submission File;https://git.overleaf.com/68b56af63cf5409cb6e603f6;Pub_FlowPaperSP2_TRD;Overleaf_source
Pub_NonlinearDiffusion_PartB;https://git.overleaf.com/6835671f4e1f655d064861fc;Pub_NonlinearDiffusion_PartB;Overleaf_source
E-bike_adoption;https://git.overleaf.com/67dd3138f886d3e2670f9ca0;Pub_EbikeAdaptation_TRC;Overleaf_source
Welfare-Optimal Public Transport Fares;https://git.overleaf.com/6569b33b909921fbf50bb043;Pub_FareWelfare_TRA;Overleaf_source
ELISA - geo paper;https://git.overleaf.com/63a362109ccc88701de634ab;Pub_EV_geografi;Overleaf_source
Pub_Cycling_overunder_performance_JCMR;https://git.overleaf.com/66fe974c5d9b11e849229b78;Pub_Cycling_overunder_performance_JCMR;Overleaf_source
Reducing Passenger Flow Bias with Smartphone Bus implicit interaction and Multi Sensory Unsupervised Split brain learning;https://git.overleaf.com/5ed65a1306e30a0001f30316;Pub_Bias_Smartphone_IEEE;Overleaf_source
FLOW paper SP2;https://git.overleaf.com/6786458859cf833ddea89f53;Pub_FlowPaperSP2_TRD;Overleaf_source
Pub_NonlinearDiffusion_Clean_PartB;https://git.overleaf.com/67a689fdd584ef3bbfb97ba4;Pub_NonlinearDiffusion_PartB;Overleaf_source
Paper LV grid impact study;https://git.overleaf.com/61bb5c25494d379378dc9054;Pub_LVGrid_TBA;Overleaf_source
The Overlooked Role of Roadworks in Micromobility’s Accessibility;https://git.overleaf.com/6721f41c86e5e51c4605d351;Pub_Roadworks_Findings;Overleaf_source
Idle Time prediction: Paper Final Version for Thesis;https://git.overleaf.com/61de0f4ed32af313e0e9406f;;Overleaf_source
BicyclePrioritisation_With_Demand;https://git.overleaf.com/65534eebf4656f0f8006bd0d;Pub_BicycleNetworkDemand_PartB;Overleaf_source
Conditional connection agreements- Full paper;https://git.overleaf.com/647f412e0f0a8c55d129b2e6;Pub_ConditionalAgreement_TBA;Overleaf_source
EV charging simulation: censored demand;https://git.overleaf.com/636d374acbad2b474418c752;Pub_CensoredCharging_EV;Overleaf_source
Pub_Letswalk_Transp;https://git.overleaf.com/665d717eba8baf02d5bf5d8c;Pub_Letswalk_Transp;Overleaf_source
